,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
1246,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,11,ESSENCE,2021,39580.0,Île-de-France,Yvelines,New
1247,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,85600,DIESEL,2017,33140.0,Grand Est,Bas-Rhin,Second-Hand
1248,VOLKSWAGEN,T-CROSS,AUTOMATIQUE,12,ESSENCE,2021,29230.0,Nouvelle-Aquitaine,Deux-Sèvres,New
1249,VOLKSWAGEN,GOLF,MANUELLE,11880,DIESEL,2021,26780.0,Occitanie,Hautes-Pyrénées,Second-Hand
1250,VOLKSWAGEN,GOLF,MANUELLE,11,ESSENCE,2021,25620.0,Centre-Val de Loire,Cher,New
1251,VOLKSWAGEN,GOLF,AUTOMATIQUE,24574,DIESEL,2021,39080.0,Normandie,Seine-Maritime,Second-Hand
1252,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,11,DIESEL,2021,39840.0,Bretagne,Ille-et-Vilaine,New
1253,VOLKSWAGEN,TIGUAN,MANUELLE,98717,DIESEL,2018,21070.0,Grand Est,Meuse,Second-Hand
1254,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,43731,ESSENCE,2019,36720.0,Île-de-France,Val-de-Marne,Second-Hand
1255,VOLKSWAGEN,TIGUAN,MANUELLE,190356,DIESEL,2012,11480.0,Nouvelle-Aquitaine,Landes,Second-Hand
1256,VOLKSWAGEN,GOLF,AUTOMATIQUE,17079,DIESEL,2021,25950.0,Auvergne-Rhône-Alpes,Puy-de-Dôme,Second-Hand
1257,RENAULT,CLIO,MANUELLE,37328,DIESEL,2019,11650.0,Bretagne,Ille-et-Vilaine,Second-Hand
1258,RENAULT,KADJAR,MANUELLE,16293,ESSENCE,2020,21640.0,Île-de-France,Yvelines,Second-Hand
1259,RENAULT,CLIO,MANUELLE,21263,ESSENCE,2019,14540.0,Île-de-France,Yvelines,Second-Hand
1260,RENAULT,CLIO,MANUELLE,12804,DIESEL,2020,16160.0,Centre-Val de Loire,Indre,Second-Hand
1261,RENAULT,CLIO,AUTOMATIQUE,11242,ESSENCE,2020,20210.0,Île-de-France,Yvelines,Second-Hand
1262,RENAULT,KADJAR,MANUELLE,26997,DIESEL,2020,20780.0,Île-de-France,Essonne,Second-Hand
1263,RENAULT,CLIO,MANUELLE,4033,ESSENCE,2021,15900.0,Île-de-France,Yvelines,Second-Hand
1264,RENAULT,CLIO,AUTOMATIQUE,12,ESSENCE,2021,22010.0,Centre-Val de Loire,Eure-et-Loir,New
1265,RENAULT,CLIO,AUTOMATIQUE,105963,DIESEL,2018,11550.0,Nouvelle-Aquitaine,Dordogne,Second-Hand
1266,RENAULT,CLIO,MANUELLE,17086,ESSENCE,2020,15850.0,Île-de-France,Yvelines,Second-Hand
1267,RENAULT,MEGANE,MANUELLE,99475,DIESEL,2019,15610.0,Pays de la Loire,Sarthe,Second-Hand
1268,RENAULT,ZOE,AUTOMATIQUE,69575,ELECTRIQUE,2017,9080.0,Île-de-France,Hauts-de-Seine,Second-Hand
1269,RENAULT,MEGANE,MANUELLE,12056,ESSENCE,2020,18270.0,Île-de-France,Yvelines,Second-Hand
1270,PEUGEOT,308,MANUELLE,53014,DIESEL,2018,17870.0,Occitanie,Haute-Garonne,Second-Hand
1271,PEUGEOT,2008,AUTOMATIQUE,55,ESSENCE,2021,30410.0,Auvergne-Rhône-Alpes,Rhône,New
1272,PEUGEOT,308,MANUELLE,193726,DIESEL,2016,11180.0,Bretagne,Ille-et-Vilaine,Second-Hand
1273,PEUGEOT,308,AUTOMATIQUE,106732,ESSENCE,2019,17300.0,Île-de-France,Seine-Saint-Denis,Second-Hand
1274,PEUGEOT,208,MANUELLE,12325,ESSENCE,2021,21510.0,Île-de-France,Hauts-de-Seine,Second-Hand
1275,PEUGEOT,208,MANUELLE,24391,ESSENCE,2020,14410.0,Hauts-de-France,Nord,Second-Hand
1276,PEUGEOT,3008,AUTOMATIQUE,5,ESSENCE,2021,42100.0,Hauts-de-France,Nord,New
1277,PEUGEOT,3008,AUTOMATIQUE,25599,ESSENCE,2019,30140.0,Nouvelle-Aquitaine,Gironde,Second-Hand
