,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
83,CITROEN,C3,MANUELLE,2642,Second-Hand,ESSENCE,2020,20280.0,3.0109543999999997,50.6449927,HAUTS-DE-FRANCE
84,CITROEN,C3,MANUELLE,62464,Second-Hand,ESSENCE,2019,13770.0,4.877194,45.811371,AUVERGNE-RHÔNE-ALPES
85,CITROEN,C3,MANUELLE,19027,Second-Hand,ESSENCE,2019,14540.0,2.0123747,48.7714685,ÎLE-DE-FRANCE
86,CITROEN,C4,AUTOMATIQUE,134130,Second-Hand,DIESEL,2017,11100.0,0.6384603999999999,48.7438061,NORMANDIE
87,CITROEN,C5 AIRCROSS,AUTOMATIQUE,32159,Second-Hand,DIESEL,2021,33040.0,0.1205319,44.5179365,NOUVELLE-AQUITAINE
88,CITROEN,C5 AIRCROSS,MANUELLE,169,Second-Hand,DIESEL,2021,35350.0,1.0465014000000001,49.4180309,NORMANDIE
89,CITROEN,C3,MANUELLE,34479,Second-Hand,ESSENCE,2019,15430.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
90,CITROEN,C4,MANUELLE,52276,Second-Hand,ESSENCE,2019,14460.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
91,TOYOTA,YARIS,MANUELLE,25989,Second-Hand,ESSENCE,2021,13210.0,0.4558292000000001,44.83722590000001,NOUVELLE-AQUITAINE
92,TOYOTA,C-HR,AUTOMATIQUE,31,New,HYBRIDE,2021,33080.0,6.8132901,47.24581149999999,BOURGOGNE-FRANCHE-COMTÉ
93,TOYOTA,YARIS,AUTOMATIQUE,3357,Second-Hand,HYBRIDE,2021,24130.0,2.1823240000000004,49.01591200000001,ÎLE-DE-FRANCE
94,TOYOTA,YARIS,AUTOMATIQUE,31465,Second-Hand,HYBRIDE,2018,17680.0,-0.6423265,44.861084999999996,NOUVELLE-AQUITAINE
95,TOYOTA,RAV4,AUTOMATIQUE,52526,Second-Hand,HYBRIDE,2019,26300.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
96,TOYOTA,YARIS,AUTOMATIQUE,105950,Second-Hand,HYBRIDE,2019,12840.0,-0.5104989999999999,44.878583,NOUVELLE-AQUITAINE
97,TOYOTA,RAV4,AUTOMATIQUE,88751,Second-Hand,HYBRIDE,2018,22450.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
98,TOYOTA,YARIS,AUTOMATIQUE,6952,Second-Hand,ESSENCE,2021,17920.0,3.0109543999999997,50.6449927,HAUTS-DE-FRANCE
99,TOYOTA,C-HR,AUTOMATIQUE,44407,Second-Hand,HYBRIDE,2018,24790.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
100,TOYOTA,YARIS,AUTOMATIQUE,44075,Second-Hand,HYBRIDE,2017,12400.0,1.9119781000000002,48.7623634,ÎLE-DE-FRANCE
101,TOYOTA,YARIS,MANUELLE,21079,Second-Hand,ESSENCE,2018,12850.0,-0.6423139999999999,44.785382,NOUVELLE-AQUITAINE
102,TOYOTA,AYGO,MANUELLE,13951,Second-Hand,ESSENCE,2018,11050.0,0.4558292000000001,44.83722590000001,NOUVELLE-AQUITAINE
103,TOYOTA,YARIS,AUTOMATIQUE,12,New,HYBRIDE,2021,25180.0,1.9119781000000002,48.7623634,ÎLE-DE-FRANCE
104,TOYOTA,AYGO,MANUELLE,62438,Second-Hand,ESSENCE,2019,9900.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
105,TOYOTA,YARIS,AUTOMATIQUE,69594,Second-Hand,HYBRIDE,2017,14450.0,5.580835599999999,43.28567,PROVENCE-ALPES-CÔTE D'AZUR
106,TOYOTA,C-HR,AUTOMATIQUE,25000,Second-Hand,HYBRIDE,2020,23180.0,-0.6423265,44.861084999999996,NOUVELLE-AQUITAINE
107,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,45964,Second-Hand,DIESEL,2019,33580.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
108,VOLKSWAGEN,GOLF,MANUELLE,92439,Second-Hand,ESSENCE,2017,14990.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
109,VOLKSWAGEN,GOLF,AUTOMATIQUE,15709,Second-Hand,HYBRIDE,2021,31330.0,-0.6884505,44.8228221,NOUVELLE-AQUITAINE
110,VOLKSWAGEN,T-ROC,AUTOMATIQUE,41878,Second-Hand,ESSENCE,2020,30480.0,4.398725,45.4626731,AUVERGNE-RHÔNE-ALPES
111,VOLKSWAGEN,T-ROC,MANUELLE,11,New,ESSENCE,2021,24040.0,-0.5563336999999999,44.8855005,NOUVELLE-AQUITAINE
112,VOLKSWAGEN,GOLF,MANUELLE,134200,Second-Hand,ESSENCE,2010,9140.0,2.5016859,48.7219246,ÎLE-DE-FRANCE
113,VOLKSWAGEN,T-ROC,MANUELLE,11,New,ESSENCE,2021,24730.0,-0.5563336999999999,44.8855005,NOUVELLE-AQUITAINE
114,VOLKSWAGEN,TIGUAN,MANUELLE,145220,Second-Hand,DIESEL,2013,13670.0,0.7923720000000001,45.199379,NOUVELLE-AQUITAINE
115,VOLKSWAGEN,T-ROC,AUTOMATIQUE,28770,Second-Hand,DIESEL,2020,36260.0,7.1129999999999995,49.114143,GRAND EST
116,VOLKSWAGEN,GOLF,MANUELLE,64310,Second-Hand,ESSENCE,2011,12520.0,2.5016859,48.7219246,ÎLE-DE-FRANCE
117,VOLKSWAGEN,GOLF,AUTOMATIQUE,11217,Second-Hand,DIESEL,2021,29750.0,1.4318042,43.6375545,OCCITANIE
118,RENAULT,CAPTUR,MANUELLE,149725,Second-Hand,DIESEL,2014,9590.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
119,RENAULT,CLIO,MANUELLE,15680,Second-Hand,ESSENCE,2021,16110.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
120,RENAULT,CLIO,MANUELLE,18008,Second-Hand,ESSENCE,2020,16400.0,0.3698788,45.0440403,NOUVELLE-AQUITAINE
121,RENAULT,CLIO,MANUELLE,9841,Second-Hand,DIESEL,2021,21520.0,5.037298000000002,43.436943,PROVENCE-ALPES-CÔTE D'AZUR
