Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
RENAULT,Captur,Manuelle,11201,Diesel,2020,19 990,38200,4.903812500000001,45.4962
RENAULT,Clio,Automatique,4000,Hybride,2020,23 990,59160,3.01025,50.633
RENAULT,Clio,Manuelle,34700,Essence,2016,9 990,59320,2.9567222222222216,50.6223
RENAULT,Clio,Automatique,10,Hybride,2020,23 700,59470,2.419483333333333,50.8813
RENAULT,Megane estate,Manuelle,57702,Diesel,2017,14 160,63170,3.12635,45.7516
RENAULT,Kadjar,Manuelle,76523,Diesel,2017,14 990,74100,6.2448000000000015,46.203
RENAULT,Megane,Manuelle,9000,Diesel,2021,24 690,62231,1.7723666666666666,50.9456
RENAULT,Clio,Manuelle,14,Diesel,2020,19 400,54135,5.7808,49.5007
RENAULT,Clio,Manuelle,10,Essence,2021,16 480,1000,5.2075,46.2022
RENAULT,Captur,Manuelle,10120,Diesel,2020,19 980,25000,6.0182,47.2488
RENAULT,Megane,Automatique,10,Diesel,2021,24 990,25500,6.624985714285714,47.0578
TOYOTA,Auris,Automatique,4714,Hybride,2017,17 999,37540,0.6667,47.4
RENAULT,Captur,Manuelle,19357,Diesel,2020,19 990,38200,4.903812500000001,45.4962
PEUGEOT,3008,Automatique,35021,Diesel,2020,28 999,37500,0.20540666666666668,47.1358
RENAULT,Captur,Manuelle,8700,Essence,2021,23 790,13100,5.51904,43.5195
RENAULT,Captur,Automatique,9990,Hybride R,2021,34 690,59190,2.537025,50.7237
RENAULT,Kangoo express,Manuelle,4,Diesel,2021,15 590,51530,3.9440588235294123,49.0107
RENAULT,Clio estate,Manuelle,64500,Essence,2019,9 980,57400,7.044410000000001,48.7767
RENAULT,Clio,Manuelle,8459,Diesel,2020,17 990,62232,2.6100000000000003,50.5667
RENAULT,Megane,Automatique,35092,Diesel,2020,17 990,59160,3.01025,50.633
RENAULT,Master,Manuelle,89149,Diesel,2017,17 490,13700,5.2239,43.416000000000004
RENAULT,Zoe,Automatique,9664,Electrique,2019,12 990,84120,5.603175,43.7001
RENAULT,Kadjar,Manuelle,40900,Diesel,2017,17 990,62218,2.8532,50.438
RENAULT,Captur,Manuelle,18611,Diesel,2020,19 990,26100,5.0562,45.0464
RENAULT,Captur,Manuelle,72869,Diesel,2017,10 990,73230,5.987283333333334,45.5863
RENAULT,Koleos,Automatique,5500,Diesel,2021,46 590,13700,5.2239,43.416000000000004
RENAULT,Captur,Automatique,2211,Diesel,2020,24 990,59320,2.9567222222222216,50.6223
RENAULT,Zoe,Automatique,45313,Electrique,2017,8 490,73200,6.373636363636364,45.6592
RENAULT,Kadjar,Manuelle,97394,Diesel,2016,13 799,37540,0.6667,47.4
RENAULT,Megane,Manuelle,33516,Diesel,2019,15 979,26100,5.0562,45.0464
RENAULT,Kadjar,Manuelle,48914,Diesel,2017,19 990,62219,2.21415,50.733999999999995
RENAULT,Zoe,Automatique,10,Electrique,2020,28 500,59470,2.419483333333333,50.8813
PEUGEOT,208,Automatique,7000,Electrique,2021,26 690,37170,0.7029,47.3354
RENAULT,Kangoo,Manuelle,9950,Diesel,2021,24 475,62220,2.9582,50.4924
PEUGEOT,Expert,Manuelle,102886,Diesel,2017,25 999,37540,0.6667,47.4
RENAULT,Twingo,Automatique,9000,Electrique,2020,14 500,51100,4.0333,49.25
RENAULT,Twingo,Manuelle,10000,Essence,2021,13 712,51530,3.9440588235294123,49.0107
RENAULT,Clio,Manuelle,38280,Essence,2018,10 390,59820,2.14635,50.9695
RENAULT,Captur,Manuelle,63532,Diesel,2017,11 990,57180,6.1335,49.3467
RENAULT,Zoe,Automatique,16731,Electrique,2017,8 490,59223,3.1213,50.7533
RENAULT,Clio,Manuelle,35720,Diesel,2018,12 990,62218,2.8532,50.438
RENAULT,Kangoo express,Manuelle,40639,Diesel,2018,12 490,57000,6.1727,49.1191
RENAULT,Clio,Manuelle,32271,Essence,2018,10 990,57180,6.1335,49.3467
RENAULT,Megane,Manuelle,10,Diesel,2021,22 990,62114,2.6830000000000003,50.4451
RENAULT,Megane estate,Automatique,9000,Hybride,2020,34 990,57180,6.1335,49.3467
RENAULT,Captur,Manuelle,22236,Diesel,2020,19 390,13100,5.51904,43.5195
RENAULT,Captur,Automatique,15991,Essence,2020,21 990,26000,4.8951,44.928000000000004
PEUGEOT,308,Automatique,5000,Essence,2020,24 999,37540,0.6667,47.4
RENAULT,Captur,Automatique,5000,Hybride,2021,28 980,77100,2.8786666666666663,48.9265
PEUGEOT,2008,Manuelle,50982,Essence,2014,10 499,37170,0.7029,47.3354
RENAULT,Scenic,Automatique,27450,Diesel,2017,19 780,38200,4.903812500000001,45.4962
RENAULT,Kangoo express,Manuelle,157,Diesel,2021,16 990,73230,5.987283333333334,45.5863
RENAULT,Megane,Manuelle,14373,Diesel,2020,15 990,51100,4.0333,49.25
RENAULT,Twingo,Manuelle,7081,Essence,2020,12 990,59160,3.01025,50.633
PEUGEOT,208,Manuelle,26595,Essence,2019,11 299,37540,0.6667,47.4
RENAULT,Megane,Manuelle,21705,Diesel,2020,17 290,62000,2.75395,50.28100000000001
RENAULT,Talisman estate,Automatique,46839,Essence,2016,20 490,62114,2.6830000000000003,50.4451
RENAULT,Captur,Manuelle,10000,Gpl,2021,20 120,51530,3.9440588235294123,49.0107
RENAULT,Megane,Manuelle,95863,Diesel,2016,7 990,51100,4.0333,49.25
PEUGEOT,208,Manuelle,26398,Essence,2019,11 799,37540,0.6667,47.4
RENAULT,Zoe,Automatique,4858,Electrique,2020,26 690,73300,6.3350833333333325,45.2833
RENAULT,Scenic,Automatique,12746,Diesel,2020,27 490,74100,6.2448000000000015,46.203
RENAULT,Captur,Manuelle,16055,Essence,2019,15 390,13700,5.2239,43.416000000000004
RENAULT,Captur,Manuelle,76501,Diesel,2016,10 990,59223,3.1213,50.7533
RENAULT,Kangoo express,Manuelle,51400,Diesel,2017,12 483,51100,4.0333,49.25
RENAULT,Clio,Automatique,10,Hybride,2020,24 400,59470,2.419483333333333,50.8813
RENAULT,Captur,Automatique,9284,Essence,2019,17 995,3100,2.6,46.3333
RENAULT,Clio,Automatique,1526,Essence,2019,18 690,73200,6.373636363636364,45.6592
RENAULT,Zoe,Automatique,25000,Electrique,2018,11 900,67700,7.397823076923077,48.7257
RENAULT,Grand scenic,Automatique,90233,Diesel,2017,16 790,62219,2.21415,50.733999999999995
RENAULT,Kadjar,Manuelle,105200,Diesel,2016,14 790,25300,6.350984615384616,46.9
RENAULT,Clio,Manuelle,11089,Essence,2020,14 999,16430,0.14593333333333333,45.7167
RENAULT,Zoe,Automatique,6351,Electrique,2020,17 990,94400,2.4033,48.7872
RENAULT,Captur,Manuelle,7444,Essence,2020,18 990,51100,4.0333,49.25
RENAULT,Kadjar,Manuelle,21624,Diesel,2019,22 990,59640,2.377,51.033
RENAULT,Megane,Manuelle,5149,Essence,2020,20 790,73200,6.373636363636364,45.6592
RENAULT,Captur,Manuelle,17042,Diesel,2020,18 490,62114,2.6830000000000003,50.4451
RENAULT,Grand scenic,Manuelle,71956,Diesel,2017,18 490,2200,3.3238000000000003,49.3333
RENAULT,Megane,/,54953,,2016,14 990,2300,3.1815580645161283,49.5167
RENAULT,Megane estate,Manuelle,7366,Essence,2020,17 990,62800,2.7807,50.4198
RENAULT,Clio,Manuelle,9900,Essence,2021,15 990,59223,3.1213,50.7533
RENAULT,Clio,Manuelle,17201,Diesel,2019,11 490,93250,2.5,48.8833
RENAULT,Twingo,Manuelle,26225,Essence,2019,9 980,25000,6.0182,47.2488
RENAULT,Scenic,Automatique,81085,Diesel,2018,15 980,1000,5.2075,46.2022
RENAULT,Clio,Manuelle,15202,Diesel,2020,15 790,57000,6.1727,49.1191
RENAULT,Twingo,Manuelle,4933,Essence,2020,11 990,59320,2.9567222222222216,50.6223
RENAULT,Twingo,Manuelle,19793,Essence,2017,8 790,2300,3.1815580645161283,49.5167
RENAULT,Grand scenic,Automatique,55103,Diesel,2019,20 490,62114,2.6830000000000003,50.4451
RENAULT,Kadjar,Manuelle,24483,Diesel,2018,19 490,62114,2.6830000000000003,50.4451
RENAULT,Clio,Manuelle,12867,Diesel,2020,17 980,62219,2.21415,50.733999999999995
RENAULT,Arkana,Automatique,9990,Hybride,2021,33 990,59190,2.537025,50.7237
RENAULT,Kangoo express,Manuelle,10,Diesel,2021,15 990,51100,4.0333,49.25
RENAULT,Kadjar,Manuelle,49663,Diesel,2017,15 990,62000,2.75395,50.28100000000001
RENAULT,Grand scenic,Automatique,23026,Diesel,2020,22 690,62218,2.8532,50.438
RENAULT,Megane estate,Automatique,200,Hybride R,2020,30 890,67700,7.397823076923077,48.7257
RENAULT,Megane estate,Automatique,24,Hybride,2021,28 990,73200,6.373636363636364,45.6592
RENAULT,Twingo,Manuelle,6300,Essence,2020,12 990,93320,2.5065,48.9068
RENAULT,Captur,Automatique,36500,Essence,2019,14 999,86000,0.3333,46.5833
PEUGEOT,108,Manuelle,5,Essence,2021,12 948,37500,0.20540666666666668,47.1358
RENAULT,Clio,Automatique,9000,Hybride,2020,24 700,51000,4.3672,48.9539
RENAULT,Clio,Manuelle,15354,Diesel,2020,15 990,51100,4.0333,49.25
RENAULT,Clio,Automatique,10,Hybride,2020,20 300,59470,2.419483333333333,50.8813
RENAULT,Megane estate,Automatique,75283,Diesel,2019,17 990,73230,5.987283333333334,45.5863
RENAULT,Twingo,Manuelle,5255,Essence,2020,10 780,7430,4.711266666666666,45.2524
RENAULT,Captur,Manuelle,14360,Diesel,2020,19 990,26100,5.0562,45.0464
RENAULT,Trafic,Manuelle,66036,Diesel,2018,18 490,84120,5.603175,43.7001
RENAULT,Captur,Manuelle,14803,Essence,2020,18 990,84000,4.8089,43.9483
RENAULT,Captur,Manuelle,69079,Diesel,2018,13 990,57180,6.1335,49.3467
RENAULT,Zoe,Automatique,16152,Electrique,2018,11 400,26000,4.8951,44.928000000000004
RENAULT,Captur,Manuelle,41000,Diesel,2018,12 690,67700,7.397823076923077,48.7257
RENAULT,Captur,Manuelle,48000,Diesel,2015,11 990,57000,6.1727,49.1191
PEUGEOT,2008,Manuelle,28387,Essence,2019,14 799,37540,0.6667,47.4
RENAULT,Clio,Manuelle,8900,Diesel,2020,18 490,57400,7.044410000000001,48.7767
PEUGEOT,3008,Manuelle,14567,Diesel,2019,25 999,37400,0.9494,47.3947
RENAULT,Captur,Manuelle,10708,Diesel,2020,19 990,57000,6.1727,49.1191
RENAULT,Scenic,Manuelle,12528,Essence,2019,17 484,54510,6.24165,48.6838
RENAULT,Captur,Manuelle,100,Essence,2020,20 290,57000,6.1727,49.1191
VOLVO,Xc60,Manuelle,36399,Diesel,2016,23 499,37540,0.6667,47.4
RENAULT,Clio,Manuelle,17262,Diesel,2019,12 499,37540,0.6667,47.4
RENAULT,Megane,Manuelle,6680,Diesel,2020,25 990,93320,2.5065,48.9068
RENAULT,Clio,Manuelle,39318,Diesel,2020,13 980,1000,5.2075,46.2022
PEUGEOT,208,Manuelle,19093,Essence,2019,11 299,37500,0.20540666666666668,47.1358
RENAULT,Megane,Automatique,17300,Diesel,2019,16 990,73230,5.987283333333334,45.5863
RENAULT,Kangoo express,Manuelle,19418,Diesel,2018,11 990,62000,2.75395,50.28100000000001
RENAULT,Grand scenic,Automatique,14942,Diesel,2020,23 250,26100,5.0562,45.0464
RENAULT,Megane,Manuelle,29885,Diesel,2019,16 990,62110,2.9649,50.4136
RENAULT,Captur,Manuelle,82551,Diesel,2016,10 990,2000,3.5761192307692307,49.5631
RENAULT,Clio,Automatique,54809,Essence,2019,15 990,62114,2.6830000000000003,50.4451
RENAULT,Clio,Manuelle,9000,Essence,2021,22 750,51000,4.3672,48.9539
RENAULT,Express,Manuelle,10000,Diesel,2021,17 990,62218,2.8532,50.438
