,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region
5728,RENAULT,ZOE,AUTOMATIQUE,27879,Second-Hand,ELECTRIQUE,2020,14510.0,59113,3.0346811,50.55953220000001,SECLIN,HAUTS-DE-FRANCE,NORD
5729,RENAULT,CLIO,AUTOMATIQUE,51118,Second-Hand,DIESEL,2020,15100.0,75015,2.2867295,48.8525843,"PARIS 15, PARIS",ÎLE-DE-FRANCE,PARIS
5730,PEUGEOT,208,AUTOMATIQUE,9852,Second-Hand,ELECTRIQUE,2021,26230.0,39570,5.5362008000000005,46.6750189,"MONTAIGU, CESANCEY, MONTMOROT, MESSIA-SUR-SORNE, CONLIÈGE, FRÉBUANS, CHILLY-LE-VIGNOBLE, VEVY, MACORNAY, LA CHAILLEUSE, GERUGE, MOIRON, TRENAL, SAINT-LAURENT-LA-ROCHE, COURLANS, BORNAY, HAUTEROCHE, COURLAOUX, GEVINGEY, SAINT-MAUR, POIDS-DE-FIOLE, VERNANTOIS, QUINTIGNY, MIREBEL, SAINT-DIDIER, BAUME-LES-MESSIEURS, NOGNA, REVIGNY, BRIOD, L’ÉTOILE, VILLENEUVE-SOUS-PYMONT, CHILLE, CONDAMINE, PUBLY, VERGES, PANNESSIÈRES, PERRIGNY, COURBETTE, COURBOUZON, CRANÇOT",BOURGOGNE-FRANCHE-COMTÉ,JURA
5731,PEUGEOT,308,MANUELLE,22672,Second-Hand,DIESEL,2020,23310.0,37300,0.648341,47.34759,JOUÉ-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE
5732,PEUGEOT,308,MANUELLE,39522,Second-Hand,DIESEL,2020,18710.0,15130,2.5067041000000003,44.9288183,"CROS-DE-RONESQUE, LABROUSSE, YOLET, VÉZAC, SAINT-ÉTIENNE-DE-CARLAT, GIOU-DE-MAMOU, ARPAJON-SUR-CÈRE, TEISSIÈRES-LÈS-BOULIÈS, PRUNET, SANSAC-DE-MARMIESSE, SAINT-SIMON, VEZELS-ROUSSY, CARLAT, YTRAC, LAFEUILLADE-EN-VÉZIE",AUVERGNE-RHÔNE-ALPES,CANTAL
5733,PEUGEOT,3008,AUTOMATIQUE,44000,Second-Hand,ESSENCE,2019,28470.0,28630,1.4420353,48.4210744,"GELLAINVILLE, THIVARS, BERCHÈRES-LES-PIERRES, BARJOUVILLE, VER-LÈS-CHARTRES, MIGNIÈRES, MORANCEZ, FONTENAY-SUR-EURE, LE COUDRAY, SOURS, CORANCEZ, NOGENT-LE-PHAYE",CENTRE-VAL DE LOIRE,EURE-ET-LOIR
5734,PEUGEOT,208,MANUELLE,7830,Second-Hand,ESSENCE,2021,22170.0,33620,-0.3940197,45.2818344,"TIZAC-DE-LAPOUYADE, SAINT-MARIENS, CUBNEZAIS, LAPOUYADE, CAVIGNAC, LARUSCADE, MARCENAIS, CÉZAC, MARSAS",NOUVELLE-AQUITAINE,GIRONDE
5735,PEUGEOT,308,MANUELLE,9699,Second-Hand,ESSENCE,2021,21500.0,59113,3.0346811,50.55953220000001,SECLIN,HAUTS-DE-FRANCE,NORD
5736,PEUGEOT,208,MANUELLE,37519,Second-Hand,ESSENCE,2020,14610.0,63170,3.1397366,45.7542532,"AUBIÈRE, PÉRIGNAT-LÈS-SARLIÈVE",AUVERGNE-RHÔNE-ALPES,PUY-DE-DÔME
5737,PEUGEOT,308,MANUELLE,123987,Second-Hand,DIESEL,2010,7000.0,95340,2.288184,49.157802200000006,"BERNES-SUR-OISE, PERSAN, RONQUEROLLES",ÎLE-DE-FRANCE,VAL-D'OISE
5738,PEUGEOT,3008,AUTOMATIQUE,73200,Second-Hand,DIESEL,2019,29260.0,28500,1.371191,48.7188309,"GARANCIÈRES-EN-DROUAIS, SAINTE-GEMME-MORONVAL, BOISSY-EN-DROUAIS, ÉCLUZELLES, TRÉON, VERT-EN-DROUAIS, GERMAINVILLE, MONTREUIL, LOUVILLIERS-EN-DROUAIS, CRÉCY-COUVÉ, LA CHAPELLE-FORAINVILLIERS, MARVILLE-MOUTIERS-BRÛLÉ, CHARPONT, AUNAY-SOUS-CRÉCY, VERNOUILLET, GARNAY, OUERRE, CHERISY, SAULNIÈRES, LURAY, ALLAINVILLE, MÉZIÈRES-EN-DROUAIS",CENTRE-VAL DE LOIRE,EURE-ET-LOIR
5739,PEUGEOT,3008,AUTOMATIQUE,13026,Second-Hand,DIESEL,2021,31250.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5740,PEUGEOT,308,MANUELLE,101167,Second-Hand,DIESEL,2016,15210.0,76300,1.0968725,49.4198501,SOTTEVILLE-LÈS-ROUEN,NORMANDIE,SEINE-MARITIME
