Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
CITROEN,C5 aircross,Manuelle,11167,Diesel,2020,26 480,7430,4.711266666666666,45.2524
CITROEN,C4 cactus,Manuelle,14043,Diesel,2020,15 999,86000,0.3333,46.5833
CITROEN,C4 picasso,Manuelle,117897,Diesel,2014,11 650,71103,,
CITROEN,C5 aircross,Automatique,5,Diesel,2020,32 990,1000,5.2075,46.2022
CITROEN,C4 cactus,Manuelle,10572,Essence,2019,14 980,38170,5.6939,45.1768
CITROEN,C5 aircross,Automatique,7000,Diesel,2020,29 480,26100,5.0562,45.0464
CITROEN,C4 cactus,Manuelle,16687,Essence,2019,14 990,71103,,
CITROEN,C4 picasso,Manuelle,65900,Essence,2017,14 876,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,3058,Diesel,2021,28 999,86000,0.3333,46.5833
CITROEN,C5 aircross,Automatique,17523,Diesel,2020,29 690,79000,-0.4812666666666667,46.3231
CITROEN,C5 aircross,Automatique,2218,Diesel,2020,31 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,24260,Essence,2020,28 990,73000,5.9237,45.6216
CITROEN,C5 aircross,Automatique,30000,Diesel,2020,29 890,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,22905,Diesel,2020,29 990,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,155,Diesel,2020,30 990,1000,5.2075,46.2022
CITROEN,C5 aircross,Manuelle,9725,Diesel,2020,26 480,73490,5.9687,45.5598
CITROEN,C3,Manuelle,72571,Diesel,2018,13 990,73000,5.9237,45.6216
CITROEN,C5 aircross,Automatique,2000,Hybride R,2021,42 990,86000,0.3333,46.5833
CITROEN,C3,Manuelle,50,Essence,2021,16 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,6000,Hybride,2021,41 490,71000,4.820033333333334,46.3393
CITROEN,C3 aircross,Manuelle,8423,Essence,2019,16 990,64300,-0.7441782608695651,43.5125
CITROEN,C5 aircross,Automatique,2500,Hybride,2020,39 308,73209,,
CITROEN,C5 aircross,Manuelle,5500,Diesel,2020,25 680,86100,0.5844800000000001,46.7667
CITROEN,C5 aircross,Automatique,50,Hybride,2020,40 300,73209,,
CITROEN,C5 aircross,Automatique,18320,Diesel,2020,31 890,79000,-0.4812666666666667,46.3231
CITROEN,C3,Manuelle,3138,Essence,2021,15 490,74700,6.630466666666668,45.9142
CITROEN,C5 aircross,Automatique,1562,Diesel,2021,32 890,79000,-0.4812666666666667,46.3231
CITROEN,C5 aircross,Automatique,10520,Hybride R,2020,36 490,73000,5.9237,45.6216
CITROEN,C5 aircross,Automatique,9900,Diesel,2020,29 980,1000,5.2075,46.2022
CITROEN,C4 cactus,Manuelle,66059,Diesel,2019,12 690,74600,6.073166666666666,45.8406
CITROEN,C4 cactus,Automatique,64558,Diesel,2019,15 980,74600,6.073166666666666,45.8406
CITROEN,C5 aircross,Automatique,9500,Diesel,2020,29 000,8000,4.7190666666666665,49.7221
CITROEN,C4 cactus,Automatique,21431,Essence,2018,14 489,8000,4.7190666666666665,49.7221
CITROEN,C5 aircross,Automatique,8500,Diesel,2020,31 490,70000,6.143630952380952,47.6563
CITROEN,Berlingo,Manuelle,10,Diesel,2021,25 990,71000,4.820033333333334,46.3393
CITROEN,C5 aircross,Manuelle,53690,Essence,2019,21 690,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,1174,Diesel,2020,28 490,59160,3.01025,50.633
CITROEN,C4 picasso,Automatique,53831,Diesel,2016,15 990,86400,0.2659181818181819,46.0852
CITROEN,C4 cactus,Manuelle,11693,Essence,2020,15 999,86100,0.5844800000000001,46.7667
CITROEN,C4,Automatique,64134,Essence,2017,12 900,57180,6.1335,49.3467
CITROEN,C5 aircross,Automatique,14276,Diesel,2020,27 999,44400,-1.5497,47.1814
CITROEN,C5 aircross,Manuelle,25634,Diesel,2020,27 690,73209,,
CITROEN,C5 aircross,Automatique,12295,Essence,2020,30 990,3100,2.6,46.3333
CITROEN,C5 aircross,Automatique,12006,Hybride R,2021,36 590,64300,-0.7441782608695651,43.5125
CITROEN,C5 aircross,Automatique,5424,Hybride R,2021,37 999,44400,-1.5497,47.1814
CITROEN,C4 picasso,Automatique,110648,Diesel,2017,13 990,1000,5.2075,46.2022
CITROEN,C5 aircross,Automatique,4000,Hybride R,2021,39 990,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,3523,Diesel,2021,32 990,1000,5.2075,46.2022
CITROEN,C4 picasso,Automatique,38300,Essence,2018,18 990,73000,5.9237,45.6216
CITROEN,C5 aircross,Automatique,17350,Diesel,2020,29 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,50,Diesel,2020,35 429,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,12936,Diesel,2020,26 990,73302,,
CITROEN,C5 aircross,Automatique,1303,Diesel,2021,29 890,74100,6.2448000000000015,46.203
CITROEN,C5 aircross,Manuelle,32862,Diesel,2020,25 490,74600,6.073166666666666,45.8406
CITROEN,C5 aircross,Manuelle,103644,Diesel,2019,19 980,38320,5.7681999999999976,45.1374
CITROEN,C5 aircross,Automatique,1140,Diesel,2020,32 690,79000,-0.4812666666666667,46.3231
CITROEN,C5 aircross,Automatique,5000,Hybride,2020,44 200,71103,,
CITROEN,C5 aircross,Automatique,15402,Hybride,2020,36 290,59160,3.01025,50.633
CITROEN,C4 cactus,Manuelle,18581,Essence,2019,14 690,51100,4.0333,49.25
CITROEN,Spacetourer,Manuelle,41164,Diesel,2019,34 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,2468,Hybride,2020,39 500,73302,,
CITROEN,C5 aircross,Automatique,9572,Diesel,2021,29 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,10000,Diesel,2020,31 900,51530,3.9440588235294123,49.0107
CITROEN,Grand c4 picasso,Manuelle,88007,Diesel,2017,14 999,16430,0.14593333333333333,45.7167
CITROEN,C4,Automatique,110948,Diesel,2018,10 290,79000,-0.4812666666666667,46.3231
CITROEN,C4 cactus,Manuelle,13536,Essence,2020,17 990,73000,5.9237,45.6216
CITROEN,C5 aircross,Automatique,6000,Diesel,2020,33 490,71000,4.820033333333334,46.3393
CITROEN,C5 aircross,Automatique,15067,Essence,2020,28 890,8000,4.7190666666666665,49.7221
CITROEN,C5 aircross,Automatique,8200,Diesel,2020,31 780,1000,5.2075,46.2022
CITROEN,C5 aircross,Manuelle,1026,Diesel,2021,29 490,71000,4.820033333333334,46.3393
CITROEN,C4 cactus,Manuelle,15137,Diesel,2020,18 480,71000,4.820033333333334,46.3393
CITROEN,C5 aircross,Manuelle,10739,Diesel,2020,28 370,71103,,
CITROEN,C4 cactus,Automatique,18625,Diesel,2019,18 890,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,24518,Diesel,2020,30 890,74600,6.073166666666666,45.8406
CITROEN,C4 cactus,Manuelle,24191,Essence,2019,16 690,74600,6.073166666666666,45.8406
CITROEN,C5 aircross,Automatique,300,Essence,2020,30 990,1100,5.636914285714285,46.2592
CITROEN,C4 cactus,Manuelle,6175,Diesel,2020,18 990,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Manuelle,46250,Essence,2019,23 990,73000,5.9237,45.6216
CITROEN,C3,Manuelle,2817,Essence,2020,16 290,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,18587,Diesel,2020,26 990,64300,-0.7441782608695651,43.5125
CITROEN,C4 cactus,Automatique,14690,Essence,2020,18 480,38170,5.6939,45.1768
CITROEN,C4 cactus,Manuelle,16714,Essence,2020,15 990,79000,-0.4812666666666667,46.3231
CITROEN,Berlingo,Manuelle,5000,Diesel,2020,25 200,71103,,
CITROEN,C4,Manuelle,89098,Diesel,2017,11 390,74100,6.2448000000000015,46.203
CITROEN,C4 picasso,Automatique,66655,Diesel,2015,14 490,16430,0.14593333333333333,45.7167
CITROEN,C4 picasso,Automatique,42837,Diesel,2018,20 990,73000,5.9237,45.6216
CITROEN,C4 cactus,Manuelle,17001,Essence,2020,15 490,57740,6.6433,49.1169
CITROEN,C4 cactus,Manuelle,16354,Essence,2020,15 990,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Automatique,10300,Diesel,2020,37 400,51530,3.9440588235294123,49.0107
CITROEN,C5 aircross,Automatique,12450,Diesel,2020,31 989,8000,4.7190666666666665,49.7221
CITROEN,C4 cactus,Manuelle,23700,Diesel,2020,17 463,51100,4.0333,49.25
CITROEN,C4,Automatique,52590,Essence,2017,12 990,71103,,
CITROEN,C4 cactus,Manuelle,60000,Essence,2019,13 149,8000,4.7190666666666665,49.7221
CITROEN,Berlingo,Manuelle,16921,Diesel,2020,19 799,86100,0.5844800000000001,46.7667
CITROEN,C5 aircross,Manuelle,10,Diesel,2020,28 990,63000,3.0863,45.7797
CITROEN,C4 picasso,Automatique,141572,Diesel,2018,10 690,16430,0.14593333333333333,45.7167
CITROEN,C5 aircross,Automatique,500,Hybride R,2021,39 990,79000,-0.4812666666666667,46.3231
CITROEN,C4,Manuelle,90309,Diesel,2017,11 099,37540,0.6667,47.4
CITROEN,C4 picasso,Manuelle,68955,Diesel,2016,15 480,38170,5.6939,45.1768
CITROEN,C5 aircross,Automatique,20504,Diesel,2020,27 980,73209,,
CITROEN,C5 aircross,Automatique,89809,Diesel,2019,20 990,63000,3.0863,45.7797
CITROEN,C4 cactus,Manuelle,20142,Essence,2020,16 490,73000,5.9237,45.6216
CITROEN,C4 cactus,Manuelle,25200,Diesel,2019,16 480,38170,5.6939,45.1768
CITROEN,C4 cactus,Automatique,41522,Essence,2018,15 390,74100,6.2448000000000015,46.203
CITROEN,C3,Manuelle,20,Essence,2021,15 790,26000,4.8951,44.928000000000004
