,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
7531,PEUGEOT,3008,MANUELLE,150,Second-Hand,ESSENCE,2020,26990.0,57000,6.1727,49.1191,METZ,GRAND EST,MOSELLE,7.73
7532,PEUGEOT,3008,MANUELLE,9515,Second-Hand,DIESEL,2020,28850.0,64300,-0.7441782608695651,43.5125,"MASLACQ, OZENX-MONTESTRUCQ, LAÀ-MONDRANS, SARPOURENX, ORTHEZ, BÉRENX, SALLES-MONGISCARD, LABEYRIE, BALANSUN, LACADÉE, LOUBIENG, CASTÉTIS, BIRON, BAIGTS-DE-BÉARN, CASTETNER, MONT, SAINT-GIRONS-EN-BÉARN, LANNEPLAÀ, ARGAGNON, SAULT-DE-NAVAILLES, SAINT-BOÈS, BONNUT, SALLESPISSE",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,6.82
7533,PEUGEOT,208,MANUELLE,3000,Second-Hand,DIESEL,2021,23990.0,33260,-1.1406,44.6287,LA TESTE-DE-BUCH,NOUVELLE-AQUITAINE,GIRONDE,7.73
7534,PEUGEOT,208,MANUELLE,6702,Second-Hand,ESSENCE,2019,10500.0,60740,2.4536,49.2218,SAINT-MAXIMIN,HAUTS-DE-FRANCE,OISE,7.27
7535,PEUGEOT,2008,MANUELLE,56202,Second-Hand,ESSENCE,2019,15490.0,38000,5.7224,45.1715,GRENOBLE,AUVERGNE-RHÔNE-ALPES,ISÈRE,5.91
7536,PEUGEOT,208,MANUELLE,28548,Second-Hand,ESSENCE,2018,10280.0,63000,3.0863,45.7797,CLERMONT-FERRAND,AUVERGNE-RHÔNE-ALPES,PUY-DE-DÔME,5.91
7537,PEUGEOT,308,MANUELLE,28942,Second-Hand,ESSENCE,2017,14989.0,51100,4.0333,49.25,REIMS,GRAND EST,MARNE,5.91
7538,PEUGEOT,308,MANUELLE,12573,Second-Hand,ESSENCE,2020,21900.0,84000,4.8089,43.9483,AVIGNON,PROVENCE-ALPES-CÔTE D'AZUR,VAUCLUSE,7.27
7539,PEUGEOT,308,MANUELLE,23168,Second-Hand,ESSENCE,2019,17999.0,64122,-1.6992,43.3636,URRUGNE,NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,6.36
7540,PEUGEOT,3008,MANUELLE,18900,Second-Hand,DIESEL,2020,28999.0,64200,-1.5315,43.4801,"BASSUSSARRY, BIARRITZ, ARCANGUES",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,6.82
